time_iso8601,forks_cumulative
2025-06-03 00:00:00+00:00,44160
2025-06-04 00:00:00+00:00,44171
2025-06-05 00:00:00+00:00,44185
2025-06-06 00:00:00+00:00,44193
2025-06-07 00:00:00+00:00,44202
2025-06-08 00:00:00+00:00,44210
2025-06-09 00:00:00+00:00,44220
2025-06-10 00:00:00+00:00,44230
2025-06-11 00:00:00+00:00,44240
2025-06-12 00:00:00+00:00,44254
2025-06-13 00:00:00+00:00,44265
2025-06-14 00:00:00+00:00,44275
2025-06-15 00:00:00+00:00,44283
2025-06-16 00:00:00+00:00,44291
2025-06-17 00:00:00+00:00,44297
2025-06-18 00:00:00+00:00,44304
2025-06-19 00:00:00+00:00,44314
2025-06-20 00:00:00+00:00,44323
2025-06-21 00:00:00+00:00,44334
2025-06-22 00:00:00+00:00,44339
2025-06-23 00:00:00+00:00,44349
2025-06-24 00:00:00+00:00,44360
2025-06-25 00:00:00+00:00,44366
2025-06-26 00:00:00+00:00,44373
2025-06-27 00:00:00+00:00,44382
2025-06-28 00:00:00+00:00,44390
2025-06-29 00:00:00+00:00,44400
2025-06-30 00:00:00+00:00,44407
2025-07-01 00:00:00+00:00,44410
2025-07-02 00:00:00+00:00,44420
2025-07-03 00:00:00+00:00,44429
2025-07-04 00:00:00+00:00,44435
2025-07-05 00:00:00+00:00,44441
2025-07-06 00:00:00+00:00,44447
2025-07-07 00:00:00+00:00,44456
2025-07-08 00:00:00+00:00,44469
2025-07-09 00:00:00+00:00,44476
2025-07-10 00:00:00+00:00,44483
2025-07-11 00:00:00+00:00,44494
2025-07-12 00:00:00+00:00,44510
2025-07-13 00:00:00+00:00,44517
2025-07-14 00:00:00+00:00,44527
2025-07-15 00:00:00+00:00,44531
2025-07-16 00:00:00+00:00,44545
2025-07-17 00:00:00+00:00,44554
2025-07-18 00:00:00+00:00,44562
2025-07-19 00:00:00+00:00,44572
2025-07-20 00:00:00+00:00,44579
2025-07-21 00:00:00+00:00,44587
2025-07-22 00:00:00+00:00,44595
2025-07-23 00:00:00+00:00,44602
2025-07-24 00:00:00+00:00,44609
2025-07-25 00:00:00+00:00,44618
2025-07-26 00:00:00+00:00,44620
2025-07-27 00:00:00+00:00,44627
2025-07-28 00:00:00+00:00,44633
2025-07-29 00:00:00+00:00,44640
2025-07-30 00:00:00+00:00,44646
2025-07-31 00:00:00+00:00,44660
2025-08-01 00:00:00+00:00,44671
2025-08-02 00:00:00+00:00,44680
2025-08-03 00:00:00+00:00,44689
2025-08-04 00:00:00+00:00,44693
2025-08-05 00:00:00+00:00,44700
2025-08-06 00:00:00+00:00,44713
2025-08-07 00:00:00+00:00,44719
2025-08-08 00:00:00+00:00,44728
2025-08-09 00:00:00+00:00,44734
2025-08-10 00:00:00+00:00,44739
2025-08-11 00:00:00+00:00,44751
2025-08-12 00:00:00+00:00,44760
2025-08-13 00:00:00+00:00,44772
2025-08-14 00:00:00+00:00,44779
2025-08-15 00:00:00+00:00,44784
2025-08-16 00:00:00+00:00,44795
2025-08-17 00:00:00+00:00,44798
2025-08-18 00:00:00+00:00,44800
2025-08-19 00:00:00+00:00,44806
2025-08-20 00:00:00+00:00,44813
2025-08-21 00:00:00+00:00,44824
2025-08-22 00:00:00+00:00,44829
2025-08-23 00:00:00+00:00,44833
2025-08-24 00:00:00+00:00,44841
2025-08-25 00:00:00+00:00,44849
2025-08-26 00:00:00+00:00,44857
2025-08-27 00:00:00+00:00,44863
2025-08-28 00:00:00+00:00,44871
2025-08-29 00:00:00+00:00,44880
2025-08-30 00:00:00+00:00,44884
2025-08-31 00:00:00+00:00,44891
2025-09-01 00:00:00+00:00,44897
2025-09-02 00:00:00+00:00,44903
2025-09-03 00:00:00+00:00,44910
2025-09-04 00:00:00+00:00,44915
2025-09-05 00:00:00+00:00,44923
2025-09-06 00:00:00+00:00,44925
2025-09-07 00:00:00+00:00,44933
2025-09-08 00:00:00+00:00,44943
2025-09-09 00:00:00+00:00,44948
2025-09-10 00:00:00+00:00,44955
2025-09-11 00:00:00+00:00,44959
2025-09-12 00:00:00+00:00,44965
2025-09-13 00:00:00+00:00,44967
2025-09-14 00:00:00+00:00,44975
2025-09-15 00:00:00+00:00,44983
2025-09-16 00:00:00+00:00,44989
2025-09-17 00:00:00+00:00,44995
2025-09-18 00:00:00+00:00,44997
2025-09-19 00:00:00+00:00,45007
2025-09-20 00:00:00+00:00,45015
2025-09-21 00:00:00+00:00,45016
2025-09-22 00:00:00+00:00,45019
2025-09-23 00:00:00+00:00,45024
2025-09-24 00:00:00+00:00,45030
2025-09-25 00:00:00+00:00,45040
2025-09-26 00:00:00+00:00,45049
2025-09-27 00:00:00+00:00,45052
2025-09-28 00:00:00+00:00,45061
2025-09-29 00:00:00+00:00,45070
2025-09-30 00:00:00+00:00,45077
2025-10-01 00:00:00+00:00,45081
2025-10-02 00:00:00+00:00,45088
2025-10-03 00:00:00+00:00,45094
2025-10-04 00:00:00+00:00,45106
2025-10-05 00:00:00+00:00,45110
2025-10-06 00:00:00+00:00,45118
2025-10-07 00:00:00+00:00,45123
2025-10-08 00:00:00+00:00,45131
2025-10-09 00:00:00+00:00,45143
2025-10-10 00:00:00+00:00,45150
2025-10-11 00:00:00+00:00,45154
2025-10-12 00:00:00+00:00,45160
